Quarter,Postal code,Building type,Price per square meter (EUR/m2),"Number of sales, asset transfer tax data starting from 2020",PostalCode,Year,Population,AverageIncome
2015Q1,00100  Helsinki keskusta - Etu-T��l� (Helsinki),"Blocks of flats, one-room flat",6585.0,24.0,00100,2015,17868.0,35952.0
2015Q1,00100  Helsinki keskusta - Etu-T��l� (Helsinki),"Blocks of flats, two-room flat",6366.0,42.0,00100,2015,17868.0,35952.0
2015Q1,00100  Helsinki keskusta - Etu-T��l� (Helsinki),"Blocks of flats, three-room flat+",5698.0,39.0,00100,2015,17868.0,35952.0
2015Q1,00100  Helsinki keskusta - Etu-T��l� (Helsinki),Terraced houses total,,,00100,2015,17868.0,35952.0
2015Q1,00120  Punavuori - Bulevardi (Helsinki),"Blocks of flats, one-room flat",6535.0,10.0,00120,2015,7026.0,37920.0
2015Q1,00120  Punavuori - Bulevardi (Helsinki),"Blocks of flats, two-room flat",6290.0,16.0,00120,2015,7026.0,37920.0
2015Q1,00120  Punavuori - Bulevardi (Helsinki),"Blocks of flats, three-room flat+",6246.0,21.0,00120,2015,7026.0,37920.0
2015Q1,00120  Punavuori - Bulevardi (Helsinki),Terraced houses total,,,00120,2015,7026.0,37920.0
2015Q1,00130  Kaartinkaupunki (Helsinki),"Blocks of flats, one-room flat",,3.0,00130,2015,1536.0,53489.0
2015Q1,00130  Kaartinkaupunki (Helsinki),"Blocks of flats, two-room flat",,,00130,2015,1536.0,53489.0
2015Q1,00130  Kaartinkaupunki (Helsinki),"Blocks of flats, three-room flat+",,5.0,00130,2015,1536.0,53489.0
2015Q1,00130  Kaartinkaupunki (Helsinki),Terraced houses total,,,00130,2015,1536.0,53489.0
2015Q1,00140  Kaivopuisto - Ullanlinna (Helsinki),"Blocks of flats, one-room flat",6785.0,16.0,00140,2015,7817.0,54105.0
2015Q1,00140  Kaivopuisto - Ullanlinna (Helsinki),"Blocks of flats, two-room flat",6746.0,24.0,00140,2015,7817.0,54105.0
2015Q1,00140  Kaivopuisto - Ullanlinna (Helsinki),"Blocks of flats, three-room flat+",6779.0,21.0,00140,2015,7817.0,54105.0
2015Q1,00140  Kaivopuisto - Ullanlinna (Helsinki),Terraced houses total,,,00140,2015,7817.0,54105.0
2015Q1,00150  Punavuori - Eira - Hernesaari (Helsinki),"Blocks of flats, one-room flat",6730.0,41.0,00150,2015,9299.0,38606.0
2015Q1,00150  Punavuori - Eira - Hernesaari (Helsinki),"Blocks of flats, two-room flat",6068.0,25.0,00150,2015,9299.0,38606.0
2015Q1,00150  Punavuori - Eira - Hernesaari (Helsinki),"Blocks of flats, three-room flat+",6527.0,19.0,00150,2015,9299.0,38606.0
2015Q1,00150  Punavuori - Eira - Hernesaari (Helsinki),Terraced houses total,,,00150,2015,9299.0,38606.0
2015Q1,00160  Katajanokka (Helsinki),"Blocks of flats, one-room flat",,4.0,00160,2015,4470.0,40166.0
2015Q1,00160  Katajanokka (Helsinki),"Blocks of flats, two-room flat",6205.0,13.0,00160,2015,4470.0,40166.0
2015Q1,00160  Katajanokka (Helsinki),"Blocks of flats, three-room flat+",6235.0,13.0,00160,2015,4470.0,40166.0
2015Q1,00160  Katajanokka (Helsinki),Terraced houses total,,,00160,2015,4470.0,40166.0
2015Q1,00170  Kruununhaka (Helsinki),"Blocks of flats, one-room flat",6887.0,27.0,00170,2015,7391.0,40782.0
2015Q1,00170  Kruununhaka (Helsinki),"Blocks of flats, two-room flat",5973.0,11.0,00170,2015,7391.0,40782.0
2015Q1,00170  Kruununhaka (Helsinki),"Blocks of flats, three-room flat+",6473.0,19.0,00170,2015,7391.0,40782.0
2015Q1,00170  Kruununhaka (Helsinki),Terraced houses total,,,00170,2015,7391.0,40782.0
2015Q1,00180  Kamppi - Ruoholahti (Helsinki),"Blocks of flats, one-room flat",6535.0,22.0,00180,2015,13815.0,28682.0
2015Q1,00180  Kamppi - Ruoholahti (Helsinki),"Blocks of flats, two-room flat",5901.0,26.0,00180,2015,13815.0,28682.0
2015Q1,00180  Kamppi - Ruoholahti (Helsinki),"Blocks of flats, three-room flat+",5855.0,18.0,00180,2015,13815.0,28682.0
2015Q1,00180  Kamppi - Ruoholahti (Helsinki),Terraced houses total,,,00180,2015,13815.0,28682.0
2015Q1,00190  Suomenlinna (Helsinki),"Blocks of flats, one-room flat",,,00190,2015,792.0,26804.0
2015Q1,00190  Suomenlinna (Helsinki),"Blocks of flats, two-room flat",,,00190,2015,792.0,26804.0
2015Q1,00190  Suomenlinna (Helsinki),"Blocks of flats, three-room flat+",,,00190,2015,792.0,26804.0
2015Q1,00190  Suomenlinna (Helsinki),Terraced houses total,,,00190,2015,792.0,26804.0
2015Q1,00200  Pohjois-Lauttasaari (Helsinki),"Blocks of flats, one-room flat",5544.0,27.0,00200,2015,14921.0,32094.0
2015Q1,00200  Pohjois-Lauttasaari (Helsinki),"Blocks of flats, two-room flat",4930.0,38.0,00200,2015,14921.0,32094.0
2015Q1,00200  Pohjois-Lauttasaari (Helsinki),"Blocks of flats, three-room flat+",4689.0,39.0,00200,2015,14921.0,32094.0
2015Q1,00200  Pohjois-Lauttasaari (Helsinki),Terraced houses total,,2.0,00200,2015,14921.0,32094.0
2015Q1,00210  Vattuniemi (Helsinki),"Blocks of flats, one-room flat",5479.0,7.0,00210,2015,7697.0,38964.0
2015Q1,00210  Vattuniemi (Helsinki),"Blocks of flats, two-room flat",5346.0,14.0,00210,2015,7697.0,38964.0
2015Q1,00210  Vattuniemi (Helsinki),"Blocks of flats, three-room flat+",5223.0,26.0,00210,2015,7697.0,38964.0
2015Q1,00210  Vattuniemi (Helsinki),Terraced houses total,,1.0,00210,2015,7697.0,38964.0
2015Q1,00220  J�tk�saari (Helsinki),"Blocks of flats, one-room flat",,,00220,2015,2260.0,29665.0
2015Q1,00220  J�tk�saari (Helsinki),"Blocks of flats, two-room flat",,,00220,2015,2260.0,29665.0
2015Q1,00220  J�tk�saari (Helsinki),"Blocks of flats, three-room flat+",,,00220,2015,2260.0,29665.0
2015Q1,00220  J�tk�saari (Helsinki),Terraced houses total,,,00220,2015,2260.0,29665.0
2015Q1,00240  L�nsi-Pasila (Helsinki),"Blocks of flats, one-room flat",,,00240,2015,5145.0,24342.0
2015Q1,00240  L�nsi-Pasila (Helsinki),"Blocks of flats, two-room flat",4915.0,6.0,00240,2015,5145.0,24342.0
2015Q1,00240  L�nsi-Pasila (Helsinki),"Blocks of flats, three-room flat+",,4.0,00240,2015,5145.0,24342.0
2015Q1,00240  L�nsi-Pasila (Helsinki),Terraced houses total,,,00240,2015,5145.0,24342.0
2015Q1,00250  Taka-T��l� (Helsinki),"Blocks of flats, one-room flat",5995.0,39.0,00250,2015,11079.0,29098.0
2015Q1,00250  Taka-T��l� (Helsinki),"Blocks of flats, two-room flat",5190.0,47.0,00250,2015,11079.0,29098.0
2015Q1,00250  Taka-T��l� (Helsinki),"Blocks of flats, three-room flat+",5167.0,19.0,00250,2015,11079.0,29098.0
2015Q1,00250  Taka-T��l� (Helsinki),Terraced houses total,,,00250,2015,11079.0,29098.0
2015Q1,00260  Keski-T��l� (Helsinki),"Blocks of flats, one-room flat",6959.0,8.0,00260,2015,5422.0,34199.0
2015Q1,00260  Keski-T��l� (Helsinki),"Blocks of flats, two-room flat",5862.0,11.0,00260,2015,5422.0,34199.0
2015Q1,00260  Keski-T��l� (Helsinki),"Blocks of flats, three-room flat+",5897.0,15.0,00260,2015,5422.0,34199.0
2015Q1,00260  Keski-T��l� (Helsinki),Terraced houses total,,,00260,2015,5422.0,34199.0
2015Q1,00270  Pohjois-Meilahti (Helsinki),"Blocks of flats, one-room flat",5649.0,7.0,00270,2015,7644.0,27339.0
2015Q1,00270  Pohjois-Meilahti (Helsinki),"Blocks of flats, two-room flat",5285.0,31.0,00270,2015,7644.0,27339.0
2015Q1,00270  Pohjois-Meilahti (Helsinki),"Blocks of flats, three-room flat+",4763.0,18.0,00270,2015,7644.0,27339.0
2015Q1,00270  Pohjois-Meilahti (Helsinki),Terraced houses total,,,00270,2015,7644.0,27339.0
2015Q1,00280  Ruskeasuo (Helsinki),"Blocks of flats, one-room flat",,,00280,2015,3000.0,25902.0
2015Q1,00280  Ruskeasuo (Helsinki),"Blocks of flats, two-room flat",,3.0,00280,2015,3000.0,25902.0
2015Q1,00280  Ruskeasuo (Helsinki),"Blocks of flats, three-room flat+",,5.0,00280,2015,3000.0,25902.0
2015Q1,00280  Ruskeasuo (Helsinki),Terraced houses total,,,00280,2015,3000.0,25902.0
2015Q1,00290  Meilahden sairaala-alue (Helsinki),"Blocks of flats, one-room flat",,,00290,2015,161.0,38043.0
2015Q1,00290  Meilahden sairaala-alue (Helsinki),"Blocks of flats, two-room flat",,,00290,2015,161.0,38043.0
2015Q1,00290  Meilahden sairaala-alue (Helsinki),"Blocks of flats, three-room flat+",,,00290,2015,161.0,38043.0
2015Q1,00290  Meilahden sairaala-alue (Helsinki),Terraced houses total,,,00290,2015,161.0,38043.0
2015Q1,00300  Pikku Huopalahti (Helsinki),"Blocks of flats, one-room flat",,3.0,00300,2015,5857.0,26005.0
2015Q1,00300  Pikku Huopalahti (Helsinki),"Blocks of flats, two-room flat",,9.0,00300,2015,5857.0,26005.0
2015Q1,00300  Pikku Huopalahti (Helsinki),"Blocks of flats, three-room flat+",,7.0,00300,2015,5857.0,26005.0
2015Q1,00300  Pikku Huopalahti (Helsinki),Terraced houses total,,,00300,2015,5857.0,26005.0
2015Q1,00310  Kivihaka (Helsinki),"Blocks of flats, one-room flat",,4.0,00310,2015,896.0,25292.0
2015Q1,00310  Kivihaka (Helsinki),"Blocks of flats, two-room flat",,4.0,00310,2015,896.0,25292.0
2015Q1,00310  Kivihaka (Helsinki),"Blocks of flats, three-room flat+",,3.0,00310,2015,896.0,25292.0
2015Q1,00310  Kivihaka (Helsinki),Terraced houses total,,,00310,2015,896.0,25292.0
2015Q1,00320  Etel�-Haaga (Helsinki),"Blocks of flats, one-room flat",5064.0,24.0,00320,2015,9726.0,25934.0
2015Q1,00320  Etel�-Haaga (Helsinki),"Blocks of flats, two-room flat",4295.0,32.0,00320,2015,9726.0,25934.0
2015Q1,00320  Etel�-Haaga (Helsinki),"Blocks of flats, three-room flat+",4342.0,13.0,00320,2015,9726.0,25934.0
2015Q1,00320  Etel�-Haaga (Helsinki),Terraced houses total,,2.0,00320,2015,9726.0,25934.0
2015Q1,00330  Munkkiniemi (Helsinki),"Blocks of flats, one-room flat",6218.0,11.0,00330,2015,8864.0,37737.0
2015Q1,00330  Munkkiniemi (Helsinki),"Blocks of flats, two-room flat",5090.0,16.0,00330,2015,8864.0,37737.0
2015Q1,00330  Munkkiniemi (Helsinki),"Blocks of flats, three-room flat+",5193.0,15.0,00330,2015,8864.0,37737.0
2015Q1,00330  Munkkiniemi (Helsinki),Terraced houses total,,1.0,00330,2015,8864.0,37737.0
2015Q1,00340  Kuusisaari - Lehtisaari (Helsinki),"Blocks of flats, one-room flat",,,00340,2015,1654.0,76022.0
2015Q1,00340  Kuusisaari - Lehtisaari (Helsinki),"Blocks of flats, two-room flat",,1.0,00340,2015,1654.0,76022.0
2015Q1,00340  Kuusisaari - Lehtisaari (Helsinki),"Blocks of flats, three-room flat+",,4.0,00340,2015,1654.0,76022.0
2015Q1,00340  Kuusisaari - Lehtisaari (Helsinki),Terraced houses total,,2.0,00340,2015,1654.0,76022.0
2015Q1,00350  Munkkivuori - Niemenm�ki (Helsinki),"Blocks of flats, one-room flat",4517.0,6.0,00350,2015,9315.0,26131.0
2015Q1,00350  Munkkivuori - Niemenm�ki (Helsinki),"Blocks of flats, two-room flat",3788.0,13.0,00350,2015,9315.0,26131.0
2015Q1,00350  Munkkivuori - Niemenm�ki (Helsinki),"Blocks of flats, three-room flat+",3901.0,23.0,00350,2015,9315.0,26131.0
2015Q1,00350  Munkkivuori - Niemenm�ki (Helsinki),Terraced houses total,4173.0,10.0,00350,2015,9315.0,26131.0
2015Q1,00360  Pajam�ki (Helsinki),"Blocks of flats, one-room flat",,3.0,00360,2015,1875.0,23693.0
2015Q1,00360  Pajam�ki (Helsinki),"Blocks of flats, two-room flat",3288.0,7.0,00360,2015,1875.0,23693.0
2015Q1,00360  Pajam�ki (Helsinki),"Blocks of flats, three-room flat+",,,00360,2015,1875.0,23693.0
2015Q1,00360  Pajam�ki (Helsinki),Terraced houses total,,,00360,2015,1875.0,23693.0
2015Q1,00370  Reimarla (Helsinki),"Blocks of flats, one-room flat",,5.0,00370,2015,6522.0,25260.0
2015Q1,00370  Reimarla (Helsinki),"Blocks of flats, two-room flat",3132.0,6.0,00370,2015,6522.0,25260.0
2015Q1,00370  Reimarla (Helsinki),"Blocks of flats, three-room flat+",3039.0,10.0,00370,2015,6522.0,25260.0
2015Q1,00370  Reimarla (Helsinki),Terraced houses total,,3.0,00370,2015,6522.0,25260.0
2015Q1,00380  Pit�j�nm�en yritysalue (Helsinki),"Blocks of flats, one-room flat",4650.0,6.0,00380,2015,4356.0,25615.0
2015Q1,00380  Pit�j�nm�en yritysalue (Helsinki),"Blocks of flats, two-room flat",,3.0,00380,2015,4356.0,25615.0
2015Q1,00380  Pit�j�nm�en yritysalue (Helsinki),"Blocks of flats, three-room flat+",4136.0,6.0,00380,2015,4356.0,25615.0
2015Q1,00380  Pit�j�nm�en yritysalue (Helsinki),Terraced houses total,,,00380,2015,4356.0,25615.0
2015Q1,00390  Konala (Helsinki),"Blocks of flats, one-room flat",4166.0,8.0,00390,2015,6214.0,25539.0
2015Q1,00390  Konala (Helsinki),"Blocks of flats, two-room flat",2908.0,13.0,00390,2015,6214.0,25539.0
2015Q1,00390  Konala (Helsinki),"Blocks of flats, three-room flat+",,3.0,00390,2015,6214.0,25539.0
2015Q1,00390  Konala (Helsinki),Terraced houses total,,4.0,00390,2015,6214.0,25539.0
2015Q1,00400  Pohjois-Haaga (Helsinki),"Blocks of flats, one-room flat",5055.0,13.0,00400,2015,9450.0,22450.0
2015Q1,00400  Pohjois-Haaga (Helsinki),"Blocks of flats, two-room flat",3848.0,15.0,00400,2015,9450.0,22450.0
2015Q1,00400  Pohjois-Haaga (Helsinki),"Blocks of flats, three-room flat+",3511.0,15.0,00400,2015,9450.0,22450.0
2015Q1,00400  Pohjois-Haaga (Helsinki),Terraced houses total,,,00400,2015,9450.0,22450.0
2015Q1,00410  Malminkartano (Helsinki),"Blocks of flats, one-room flat",,2.0,00410,2015,8693.0,20937.0
2015Q1,00410  Malminkartano (Helsinki),"Blocks of flats, two-room flat",,2.0,00410,2015,8693.0,20937.0
2015Q1,00410  Malminkartano (Helsinki),"Blocks of flats, three-room flat+",2418.0,10.0,00410,2015,8693.0,20937.0
2015Q1,00410  Malminkartano (Helsinki),Terraced houses total,,2.0,00410,2015,8693.0,20937.0
2015Q1,00420  Kannelm�ki (Helsinki),"Blocks of flats, one-room flat",3987.0,24.0,00420,2015,13869.0,21675.0
2015Q1,00420  Kannelm�ki (Helsinki),"Blocks of flats, two-room flat",2912.0,25.0,00420,2015,13869.0,21675.0
2015Q1,00420  Kannelm�ki (Helsinki),"Blocks of flats, three-room flat+",2678.0,17.0,00420,2015,13869.0,21675.0
2015Q1,00420  Kannelm�ki (Helsinki),Terraced houses total,,3.0,00420,2015,13869.0,21675.0
2015Q1,00430  Maununneva - Kuninkaantammi (Helsinki),"Blocks of flats, one-room flat",,,00430,2015,4884.0,30592.0
2015Q1,00430  Maununneva - Kuninkaantammi (Helsinki),"Blocks of flats, two-room flat",,,00430,2015,4884.0,30592.0
2015Q1,00430  Maununneva - Kuninkaantammi (Helsinki),"Blocks of flats, three-room flat+",,,00430,2015,4884.0,30592.0
2015Q1,00430  Maununneva - Kuninkaantammi (Helsinki),Terraced houses total,3542.0,9.0,00430,2015,4884.0,30592.0
2015Q1,00440  Lassila (Helsinki),"Blocks of flats, one-room flat",4557.0,8.0,00440,2015,4513.0,23807.0
2015Q1,00440  Lassila (Helsinki),"Blocks of flats, two-room flat",3314.0,6.0,00440,2015,4513.0,23807.0
2015Q1,00440  Lassila (Helsinki),"Blocks of flats, three-room flat+",3152.0,7.0,00440,2015,4513.0,23807.0
2015Q1,00440  Lassila (Helsinki),Terraced houses total,,,00440,2015,4513.0,23807.0
